PlayerID,GA90,Save%,PSxG/90,PSxG+/-/90,PSxG/SoT,SoTA/90,Cmp%,Launch%,AvgLen,AvgDist,PrgDist/90,PassLive/90,PassDead/90,1/3/90,Att 3rd/90,Def 3rd/90,Def Pen/90,Clr/90
1,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.37274871442863744,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.08756021061684596,0.4351288944876311,-0.05661709165039169,-0.19114781465647482,-0.6447726820042169,0.07078152257488983,-0.24028251332361802,0.9575655933296962
11,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.16442716034982685,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,0.340110046444341,1.307368834903071,2.6105224977624344,1.1017012568819906,0.06300538772586527,0.7558077624913694,-0.5236348169110031,-0.4794018411959009
18,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.3596321721347873,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.1573384485548624,0.01983710590258975,-0.007276896660379814,-0.10537543457030346,1.3534876192660716,1.1031403930564987,-0.2657486431770841,0.4795799806146865
40,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.38509369541108635,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.21068011305909423,1.4807433729124548,0.07841328482105431,0.49025514982833557,-0.5684349202217974,-0.3074208464796078,-0.6217895308388051,-0.9054680821540475
41,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,-1.4504506644166635,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.7511714486673732,-0.2914684093408002,0.4399263785076936,-0.106698185739275,0.8815590970716901,-0.4670316158568841,-0.28028803005488323,0.25590448312026703
44,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.8387717465160532,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.17041911077934757,0.8317547058562569,1.7376369395558295,0.9810342663155279,1.3504986096783078,-0.329535056945704,-0.5329897889358163,-0.6243792969996934
46,2.673747490485607,3.2829199347015154,2.587121538278126,1.0381931422984914,3.527134095720635,2.5373397000660347,0.5957299334241061,1.859650959589702,2.7763688878735002,3.4537134464601147,1.6241543967594154,-1.4445968541451295,-0.6795090539077069,-1.3894400505043625,-1.3430442005377512,-1.4922700943156577,2.563947184993145,-1.0001818823772068
47,4.566809253794629,3.357052167873275,3.940919076085713,-4.327106845002233,3.1448820776228708,4.113067243025593,-1.14645550772388,4.300358509563197,3.7932741508885717,2.1432999184029193,1.8595363795946813,-1.6156791307368148,-0.4533750306328512,-1.3754936819545365,-1.3430442005377512,-1.4600115450785716,3.0621149095697184,-1.0571850729900307
48,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.8241120815993952,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.7641878740763469,2.066904092922605,0.6629583901856184,-0.8445697421180777,1.2136211424500567,-0.612954774203603,-0.6010279831975391,-0.5843054798133354
57,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,1.2021771241868695,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.11312127028703889,-0.40956026925950956,0.6402189429300241,0.5633795575600214,0.5259605033229684,1.6020902872713991,-0.2989867754218268,-0.3647271688746842
60,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,-0.08864494979035903,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.6693692346130501,1.4378272227966091,0.3448766466123092,-0.07571580467224587,-0.5360940020560235,-0.8966409430435568,-0.6986011053828711,-0.9905177036000524
64,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,-0.26996185797006594,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.9703348749816103,0.9818801030268794,0.15723264542305093,-0.9369326756995865,0.5674285260761918,-0.5070239150915217,-0.6110348890856616,-0.7358152101283266
65,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,0.26164388558660484,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,0.022084845070455317,0.6560830458495223,2.6838458916806895,0.3707244427120256,0.5868976818999538,0.15489989436082413,-0.35185357086963487,0.033998172239925344
92,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,1.23072489270878,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,1.157619954692992,-0.9559387603156102,-0.6795090539077069,0.8953446379960722,-1.0674555226908162,0.025483946730517786,0.05736299624222809,1.0675314335235924
94,3.5124116050000027,3.397824896117744,3.4188502296264587,2.0200742909464795,3.3121173355406426,3.131669972240471,0.4537626521259539,1.9612250232940804,2.8166100587093905,3.4910016362828804,1.9906248364459773,-1.4978610829846761,-0.6795090539077069,-1.3024713066430602,-1.3430442005377512,-1.4671250064432617,3.3628280175586522,-0.988179031591986
99,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,-0.5932460474479251,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-1.395066115316949,-0.41505362901940934,-0.6795090539077069,-1.1116508859061724,-1.0164269458076867,-1.4335400173753157,-0.638892684978326,-0.8406071092028468
103,-0.3006786134030712,-0.3071982146165855,-0.3045579412938628,-0.0807418745553086,-0.30733146082257284,-0.30593132677952745,1.0825851209194026,-0.29684454674942484,-0.3069748775251377,-0.3044033992486307,-0.36955594310075385,0.7835547157990822,-0.037455852899848256,0.3659097494917546,-0.18053637242344917,-0.44289684136899454,-0.49602410876992453,-0.6910425351342718
